id	last-week	last-month	last-6-months
2009.05581	True	True	True
2009.08718	True	True	True
2009.06643	True	True	True
2009.07835	True	True	True
2009.04444	True	True	True
2009.07285	True	True	True
2009.06760	True	True	True
2009.06647	True	True	True
2009.05070	True	True	True
2009.08159	True	True	True
2009.02576	True	True	True
2008.12783	True	True	True
2009.01213	True	True	True
2009.05063	True	True	True
2009.01241	True	True	True
2009.03927	True	True	True
2009.07023	True	True	True
2009.04838	True	True	True
2009.07846	True	True	True
2009.06663	True	True	True
2009.06922	True	True	True
2009.05049	True	True	True
2009.08468	True	True	True
2009.07357	True	True	False
2009.07274	True	True	True
2009.05573	True	True	True
2009.07266	True	True	True
2009.06585	True	True	False
2009.08611	True	True	False
2009.07394	True	True	True
2009.08078	True	True	False
2009.03920	True	True	True
2009.07186	True	True	False
2009.04914	True	True	True
2009.06393	True	True	False
2009.06631	True	True	False
2009.08336	True	True	False
2009.06648	True	True	False
2009.02974	True	True	True
2009.08446	True	True	False
2009.05548	True	True	True
2009.06638	True	True	False
2009.06652	True	True	False
2009.05676	True	True	False
2008.11207	True	True	True
2007.10716	True	True	True
2009.04849	True	True	True
2009.03912	True	True	True
2009.08537	True	True	False
2009.04819	True	True	True
2009.07784	True	True	False
2009.05583	True	True	True
2009.01844	True	True	True
2009.08068	True	True	False
2009.08350	True	True	False
2009.07653	True	True	False
2009.07854	True	True	False
2009.05804	True	True	True
2008.01731	True	True	False
2009.07809	True	True	False
2009.06099	True	True	False
2009.08463	True	True	False
2009.05227	True	True	True
2009.03374	True	True	True
2009.07586	True	True	False
2009.08534	True	True	False
2009.08312	True	True	False
2009.07814	True	True	False
2009.04482	True	True	False
2009.01858	True	True	True
2006.13231	True	True	True
2009.03354	True	True	True
2009.02357	True	True	True
2008.07549	True	True	False
2006.10094	True	True	False
2007.05735	True	True	True
2008.07754	True	True	True
2009.08914	True	True	False
2009.03340	True	True	True
2009.05059	True	True	False
2009.04487	True	True	True
2009.00617	True	True	True
2009.08857	True	True	False
2009.04201	True	True	True
2009.06658	True	True	False
2009.06662	True	True	False
2009.04555	True	True	True
2009.07306	True	True	False
2009.03886	True	True	True
2009.07695	True	True	False
2009.05065	True	True	True
2007.02883	True	True	False
2007.13752	True	True	False
2009.02321	True	True	True
1909.11107	True	True	False
2009.05499	True	True	True
2009.05073	True	True	False
2009.01268	True	True	True
2008.13215	True	True	True
2009.03311	True	True	True
2008.10266	True	True	True
1908.06050	True	True	True
1210.8201	True	True	False
2005.09661	True	True	True
2009.08461	True	True	False
2007.06529	True	True	True
2009.08619	True	True	False
2007.00555	True	True	True
2009.06843	True	True	False
2009.03093	True	True	False
