id	last-week	last-month	last-6-months
2009.07282	True	True	True
2009.04471	True	True	True
2009.06882	True	True	False
2009.08459	True	True	False
2009.08455	True	True	False
2009.07281	True	True	False
2009.05581	True	True	False
2009.07292	True	True	False
2009.06931	True	True	False
2009.08550	True	True	False
2009.08268	True	True	False
2009.08383	True	True	False
2009.07275	True	True	False
2009.07192	True	True	False
2009.08743	True	True	False
2009.08970	True	True	False
2009.08224	True	False	False
2009.06777	True	False	False
2009.07859	True	False	False
2009.07295	True	False	False
2009.04496	True	True	True
2009.08718	True	False	False
2009.06646	True	False	False
2009.07835	True	False	False
2009.06643	True	False	False
2009.05070	True	False	False
2009.06647	True	False	False
2009.07832	True	False	False
2009.04444	True	False	False
2009.08473	True	False	False
2009.07285	True	False	False
2009.08212	True	False	False
2009.06760	True	False	False
2009.04368	True	True	True
2009.07861	True	False	False
2009.06547	True	False	False
2009.06555	True	False	False
2009.05341	True	True	True
2009.05558	True	False	False
2009.05077	True	True	False
2009.08730	True	False	False
2009.08483	True	False	False
2009.05249	True	False	False
2009.03927	True	True	False
2009.07283	True	False	False
2009.07858	True	False	False
2009.06663	True	False	False
2009.07023	True	False	False
2009.07813	True	False	False
2009.01241	True	True	True
2009.07852	True	False	False
2009.05584	True	False	False
2009.07846	True	False	False
2009.05063	True	False	False
2009.06922	True	False	False
2009.08470	True	False	False
2008.12783	True	True	True
2009.01213	True	True	True
2009.08159	True	False	False
2009.05049	True	False	False
2009.02576	False	True	True
2008.11207	False	True	True
2008.12312	False	True	True
2009.01728	False	True	True
2009.02405	False	True	False
2009.03346	False	True	False
2009.00649	False	True	False
2009.01976	False	True	False
2009.02434	False	True	False
2008.08084	False	True	True
2009.03313	False	True	False
2009.00617	False	True	False
2008.09571	False	True	False
2009.01842	False	True	False
2008.09901	False	True	False
2008.09121	False	True	False
2009.04849	False	True	False
2009.01844	False	True	False
2009.00635	False	True	False
2008.08582	False	True	True
2009.03311	False	True	False
2008.09780	False	True	False
2009.03083	False	True	False
2008.09995	False	True	False
2009.03286	False	True	False
2009.00020	False	True	False
2008.11210	False	True	False
2009.03912	False	True	False
2009.01251	False	True	False
2009.00616	False	True	False
2009.03916	False	True	False
2009.00622	False	True	False
2008.10743	False	True	False
2009.03886	False	True	False
2009.04838	False	True	False
2009.03936	False	True	False
2005.10656	False	False	True
2007.00555	False	False	True
2007.10716	False	False	True
2006.11235	False	False	True
2004.09515	False	False	True
2004.10207	False	False	True
2004.06245	False	False	True
2007.08991	False	False	True
2004.01139	False	False	True
2004.07240	False	False	True
2006.09721	False	False	True
2007.04007	False	False	True
2004.01188	False	False	True
2005.13161	False	False	True
2004.06707	False	False	True
2007.02865	False	False	True
2008.00022	False	False	True
2005.14351	False	False	True
2004.02937	False	False	True
2007.07288	False	False	True
2004.04833	False	False	True
1905.03601	False	False	True
2006.11287	False	False	True
2008.02805	False	False	True
2006.06706	False	False	True
2007.12607	False	False	True
2006.13685	False	False	True
2004.03201	False	False	True
2008.05479	False	False	True
2004.07263	False	False	True
2004.06619	False	False	True
2006.08561	False	False	True
2006.14122	False	False	True
2008.07754	False	False	True
2004.11396	False	False	True
2006.06298	False	False	True
2007.15632	False	False	True
2004.04808	False	False	True
2005.05146	False	False	True
2005.09227	False	False	True
2005.12933	False	False	True
2007.02941	False	False	True
2007.15994	False	False	True
2006.07325	False	False	True
2004.02893	False	False	True
2005.04207	False	False	True
